filename,true_label,source_original_pred,source_adv_pred,source_attack_success,tf2torch_resnet_v2_101_pred,tf2torch_resnet_v2_101_fooled
ILSVRC2012_val_00018317.png,1,1,516,True,516,True
ILSVRC2012_val_00045761.png,2,2,47,True,328,True
ILSVRC2012_val_00020011.png,3,3,779,True,3,False
ILSVRC2012_val_00026001.png,4,4,5,True,5,True
ILSVRC2012_val_00035367.png,5,5,7,True,7,True
ILSVRC2012_val_00017440.png,6,6,66,True,6,False
ILSVRC2012_val_00026908.png,7,7,3,True,7,False
ILSVRC2012_val_00028221.png,8,8,52,True,8,False
ILSVRC2012_val_00026271.png,9,9,8,True,9,False
ILSVRC2012_val_00049090.png,10,10,218,True,10,False
ILSVRC2012_val_00037748.png,11,11,620,True,24,True
ILSVRC2012_val_00016252.png,12,12,66,True,64,True
ILSVRC2012_val_00020495.png,13,13,86,True,13,False
ILSVRC2012_val_00003116.png,14,14,17,True,14,False
ILSVRC2012_val_00027811.png,15,15,18,True,15,False
ILSVRC2012_val_00034482.png,16,16,14,True,16,False
ILSVRC2012_val_00042600.png,17,17,129,True,17,False
ILSVRC2012_val_00034144.png,18,18,20,True,18,False
ILSVRC2012_val_00041206.png,19,19,449,True,19,False
ILSVRC2012_val_00017017.png,20,20,575,True,20,False
ILSVRC2012_val_00024059.png,21,21,140,True,21,False
ILSVRC2012_val_00013393.png,22,22,24,True,24,True
ILSVRC2012_val_00040474.png,23,23,351,True,23,False
ILSVRC2012_val_00022165.png,24,24,23,True,24,False
ILSVRC2012_val_00000318.png,25,25,398,True,25,False
ILSVRC2012_val_00012588.png,26,26,938,True,26,False
ILSVRC2012_val_00007561.png,27,27,51,True,51,True
ILSVRC2012_val_00017185.png,28,28,45,True,28,False
ILSVRC2012_val_00027931.png,29,29,29,False,29,False
ILSVRC2012_val_00013940.png,30,30,33,True,30,False
ILSVRC2012_val_00028352.png,31,31,33,True,31,False
ILSVRC2012_val_00043303.png,32,32,654,True,654,True
ILSVRC2012_val_00011303.png,33,33,58,True,33,False
ILSVRC2012_val_00041641.png,34,34,802,True,34,False
ILSVRC2012_val_00044755.png,35,35,64,True,24,True
ILSVRC2012_val_00013394.png,36,36,35,True,37,True
ILSVRC2012_val_00034770.png,37,37,984,True,50,True
ILSVRC2012_val_00027858.png,38,38,37,True,38,False
ILSVRC2012_val_00026793.png,39,39,43,True,43,True
ILSVRC2012_val_00033058.png,40,40,49,True,49,True
ILSVRC2012_val_00044996.png,41,41,43,True,45,True
ILSVRC2012_val_00042602.png,42,42,540,True,42,False
ILSVRC2012_val_00022247.png,43,43,49,True,49,True
ILSVRC2012_val_00044980.png,44,44,364,True,44,False
ILSVRC2012_val_00021786.png,45,45,50,True,45,False
ILSVRC2012_val_00047675.png,46,46,364,True,46,False
ILSVRC2012_val_00039203.png,47,47,48,True,48,True
ILSVRC2012_val_00017490.png,48,48,807,True,825,True
ILSVRC2012_val_00019652.png,49,49,46,True,49,False
ILSVRC2012_val_00035623.png,50,50,51,True,50,False
ILSVRC2012_val_00018666.png,51,51,50,True,50,True
ILSVRC2012_val_00027193.png,52,52,606,True,52,False
ILSVRC2012_val_00046257.png,53,53,27,True,53,False
ILSVRC2012_val_00031596.png,54,54,40,True,59,True
ILSVRC2012_val_00039732.png,55,55,68,True,55,False
ILSVRC2012_val_00030719.png,56,56,617,True,617,True
ILSVRC2012_val_00005676.png,57,57,69,True,57,False
ILSVRC2012_val_00006699.png,58,58,59,True,58,False
ILSVRC2012_val_00034970.png,59,59,122,True,59,False
ILSVRC2012_val_00002439.png,60,60,56,True,65,True
ILSVRC2012_val_00033547.png,61,61,54,True,59,True
ILSVRC2012_val_00013730.png,62,62,57,True,62,False
ILSVRC2012_val_00017927.png,63,63,62,True,62,True
ILSVRC2012_val_00049823.png,64,64,952,True,64,False
ILSVRC2012_val_00028197.png,65,56,937,True,937,True
ILSVRC2012_val_00000324.png,66,66,58,True,59,True
ILSVRC2012_val_00046538.png,67,67,68,True,67,False
ILSVRC2012_val_00038068.png,68,68,919,True,68,False
ILSVRC2012_val_00024609.png,69,69,67,True,69,False
ILSVRC2012_val_00015756.png,70,70,320,True,70,False
ILSVRC2012_val_00037311.png,71,71,85,True,329,True
ILSVRC2012_val_00043197.png,72,72,126,True,72,False
ILSVRC2012_val_00003008.png,73,73,665,True,73,False
ILSVRC2012_val_00023692.png,74,74,77,True,74,False
ILSVRC2012_val_00046384.png,75,75,702,True,75,False
ILSVRC2012_val_00016936.png,76,76,829,True,76,False
ILSVRC2012_val_00041311.png,77,77,749,True,77,False
ILSVRC2012_val_00010801.png,78,78,76,True,78,False
ILSVRC2012_val_00032783.png,79,79,71,True,79,False
ILSVRC2012_val_00005072.png,80,80,829,True,397,True
ILSVRC2012_val_00007126.png,81,81,146,True,81,False
ILSVRC2012_val_00009827.png,82,82,81,True,82,False
ILSVRC2012_val_00036573.png,83,83,82,True,83,False
ILSVRC2012_val_00033098.png,84,84,299,True,84,False
ILSVRC2012_val_00022767.png,85,85,553,True,85,False
ILSVRC2012_val_00043990.png,86,86,87,True,86,False
ILSVRC2012_val_00043041.png,87,87,430,True,87,False
ILSVRC2012_val_00049962.png,88,88,126,True,126,True
ILSVRC2012_val_00012864.png,89,89,90,True,89,False
