filename,true_label,source_original_pred,source_adv_pred,source_attack_success,tf2torch_inception_v3_pred,tf2torch_inception_v3_fooled,tf2torch_inception_v4_pred,tf2torch_inception_v4_fooled,tf2torch_resnet_v2_101_pred,tf2torch_resnet_v2_101_fooled,tf2torch_inc_res_v2_pred,tf2torch_inc_res_v2_fooled,tf2torch_ens3_adv_inc_v3_pred,tf2torch_ens3_adv_inc_v3_fooled,tf2torch_ens4_adv_inc_v3_pred,tf2torch_ens4_adv_inc_v3_fooled,tf2torch_ens_adv_inc_res_v2_pred,tf2torch_ens_adv_inc_res_v2_fooled
ILSVRC2012_val_00018317.png,1,1,516,True,516,True,1,False,516,True,1,False,1,False,1,False,1,False
ILSVRC2012_val_00045761.png,2,2,318,True,318,True,318,True,30,True,2,False,2,False,2,False,2,False
ILSVRC2012_val_00020011.png,3,3,7,True,7,True,4,True,3,False,3,False,3,False,3,False,3,False
ILSVRC2012_val_00026001.png,4,4,5,True,5,True,5,True,5,True,5,True,4,False,4,False,4,False
ILSVRC2012_val_00035367.png,5,5,7,True,7,True,7,True,7,True,7,True,5,False,7,True,5,False
ILSVRC2012_val_00017440.png,6,6,398,True,398,True,6,False,6,False,6,False,6,False,6,False,6,False
ILSVRC2012_val_00026908.png,7,7,108,True,108,True,7,False,7,False,7,False,7,False,7,False,7,False
ILSVRC2012_val_00028221.png,8,8,9,True,9,True,9,True,8,False,8,False,8,False,8,False,8,False
ILSVRC2012_val_00026271.png,9,9,8,True,8,True,9,False,9,False,9,False,9,False,9,False,9,False
ILSVRC2012_val_00049090.png,10,10,178,True,178,True,10,False,10,False,10,False,10,False,10,False,10,False
ILSVRC2012_val_00037748.png,11,11,13,True,13,True,13,True,13,True,83,True,13,True,13,True,11,False
ILSVRC2012_val_00016252.png,12,12,995,True,995,True,12,False,12,False,12,False,12,False,12,False,12,False
ILSVRC2012_val_00020495.png,13,13,87,True,87,True,13,False,13,False,13,False,13,False,13,False,13,False
ILSVRC2012_val_00003116.png,14,14,143,True,143,True,14,False,14,False,14,False,14,False,14,False,14,False
ILSVRC2012_val_00027811.png,15,15,18,True,18,True,15,False,15,False,15,False,15,False,15,False,15,False
ILSVRC2012_val_00034482.png,16,16,14,True,14,True,14,True,16,False,16,False,16,False,16,False,16,False
ILSVRC2012_val_00042600.png,17,17,97,True,97,True,94,True,17,False,17,False,17,False,17,False,17,False
ILSVRC2012_val_00034144.png,18,18,20,True,20,True,18,False,18,False,18,False,18,False,18,False,18,False
ILSVRC2012_val_00041206.png,19,19,987,True,987,True,19,False,19,False,19,False,19,False,19,False,19,False
ILSVRC2012_val_00017017.png,20,20,20,False,20,False,20,False,20,False,20,False,20,False,20,False,20,False
ILSVRC2012_val_00024059.png,21,21,140,True,140,True,140,True,21,False,21,False,21,False,21,False,21,False
ILSVRC2012_val_00013393.png,22,22,24,True,24,True,22,False,22,False,24,True,22,False,22,False,22,False
ILSVRC2012_val_00040474.png,23,23,145,True,145,True,23,False,24,True,23,False,23,False,23,False,23,False
ILSVRC2012_val_00022165.png,24,24,23,True,23,True,24,False,24,False,24,False,52,True,24,False,24,False
ILSVRC2012_val_00000318.png,25,25,229,True,229,True,25,False,25,False,25,False,25,False,25,False,25,False
ILSVRC2012_val_00012588.png,26,26,198,True,198,True,215,True,26,False,26,False,26,False,26,False,26,False
ILSVRC2012_val_00007561.png,27,27,396,True,396,True,396,True,27,False,396,True,27,False,27,False,27,False
