filename,true_label,source_original_pred,source_adv_pred,source_attack_success,tf2torch_inception_v3_pred,tf2torch_inception_v3_fooled,tf2torch_inception_v4_pred,tf2torch_inception_v4_fooled,tf2torch_resnet_v2_50_pred,tf2torch_resnet_v2_50_fooled,tf2torch_resnet_v2_101_pred,tf2torch_resnet_v2_101_fooled,tf2torch_resnet_v2_152_pred,tf2torch_resnet_v2_152_fooled,tf2torch_inc_res_v2_pred,tf2torch_inc_res_v2_fooled,tf2torch_adv_inception_v3_pred,tf2torch_adv_inception_v3_fooled,tf2torch_ens3_adv_inc_v3_pred,tf2torch_ens3_adv_inc_v3_fooled,tf2torch_ens4_adv_inc_v3_pred,tf2torch_ens4_adv_inc_v3_fooled,tf2torch_ens_adv_inc_res_v2_pred,tf2torch_ens_adv_inc_res_v2_fooled
ILSVRC2012_val_00018317.png,1,1,458,True,458,True,906,True,638,True,905,True,905,True,905,True,905,True,717,True,905,True,905,True
ILSVRC2012_val_00045761.png,2,2,905,True,905,True,2,False,795,True,906,True,905,True,2,False,795,True,906,True,905,True,2,False
ILSVRC2012_val_00020011.png,3,3,717,True,717,True,751,True,729,True,751,True,751,True,297,True,729,True,729,True,471,True,729,True
ILSVRC2012_val_00026001.png,4,4,905,True,905,True,905,True,905,True,906,True,906,True,906,True,905,True,906,True,906,True,905,True
ILSVRC2012_val_00035367.png,5,5,906,True,906,True,790,True,905,True,906,True,790,True,905,True,906,True,906,True,906,True,906,True
ILSVRC2012_val_00017440.png,6,6,905,True,905,True,531,True,511,True,782,True,531,True,905,True,790,True,531,True,531,True,905,True
ILSVRC2012_val_00026908.png,7,7,717,True,717,True,751,True,751,True,696,True,612,True,717,True,838,True,807,True,751,True,905,True
ILSVRC2012_val_00028221.png,8,8,458,True,458,True,751,True,751,True,751,True,917,True,751,True,751,True,751,True,695,True,751,True
ILSVRC2012_val_00026271.png,9,9,13,True,13,True,905,True,751,True,905,True,751,True,13,True,905,True,13,True,905,True,905,True
ILSVRC2012_val_00049090.png,10,10,913,True,913,True,913,True,913,True,913,True,905,True,717,True,23,True,913,True,913,True,913,True
ILSVRC2012_val_00037748.png,11,11,695,True,695,True,717,True,717,True,906,True,906,True,906,True,906,True,906,True,906,True,717,True
ILSVRC2012_val_00016252.png,12,12,911,True,911,True,905,True,751,True,795,True,751,True,906,True,905,True,906,True,906,True,645,True
ILSVRC2012_val_00020495.png,13,13,458,True,458,True,906,True,807,True,948,True,917,True,905,True,905,True,906,True,906,True,906,True
ILSVRC2012_val_00003116.png,14,14,717,True,717,True,15,True,717,True,717,True,917,True,717,True,717,True,717,True,717,True,717,True
ILSVRC2012_val_00027811.png,15,15,905,True,905,True,114,True,751,True,15,False,917,True,905,True,665,True,906,True,744,True,15,False
ILSVRC2012_val_00034482.png,16,16,366,True,366,True,16,False,15,True,86,True,86,True,15,True,844,True,597,True,731,True,16,False
ILSVRC2012_val_00042600.png,17,17,734,True,734,True,921,True,921,True,921,True,734,True,734,True,678,True,696,True,734,True,88,True
ILSVRC2012_val_00034144.png,18,18,12,True,12,True,905,True,905,True,789,True,789,True,905,True,73,True,905,True,999,True,12,True
ILSVRC2012_val_00041206.png,19,19,989,True,989,True,696,True,734,True,668,True,696,True,19,False,958,True,90,True,507,True,696,True
ILSVRC2012_val_00017017.png,20,20,399,True,399,True,744,True,906,True,948,True,913,True,906,True,917,True,906,True,744,True,906,True
ILSVRC2012_val_00024059.png,21,21,913,True,913,True,913,True,751,True,913,True,751,True,913,True,906,True,906,True,912,True,905,True
