filename,true_label,source_original_pred,source_adv_pred,source_success
ILSVRC2012_val_00018317.png,1,1,1,False
ILSVRC2012_val_00045761.png,2,2,2,False
ILSVRC2012_val_00020011.png,3,3,3,False
ILSVRC2012_val_00026001.png,4,4,4,False
ILSVRC2012_val_00035367.png,5,5,5,False
ILSVRC2012_val_00017440.png,6,6,6,False
ILSVRC2012_val_00026908.png,7,7,7,False
ILSVRC2012_val_00028221.png,8,8,8,False
ILSVRC2012_val_00026271.png,9,9,9,False
ILSVRC2012_val_00049090.png,10,10,10,False
ILSVRC2012_val_00037748.png,11,11,11,False
ILSVRC2012_val_00016252.png,12,12,12,False
ILSVRC2012_val_00020495.png,13,13,13,False
ILSVRC2012_val_00003116.png,14,14,14,False
ILSVRC2012_val_00027811.png,15,15,15,False
ILSVRC2012_val_00034482.png,16,16,16,False
ILSVRC2012_val_00042600.png,17,17,17,False
ILSVRC2012_val_00034144.png,18,18,18,False
ILSVRC2012_val_00041206.png,19,19,19,False
ILSVRC2012_val_00017017.png,20,20,20,False
ILSVRC2012_val_00024059.png,21,21,21,False
ILSVRC2012_val_00013393.png,22,22,22,False
ILSVRC2012_val_00040474.png,23,23,23,False
ILSVRC2012_val_00022165.png,24,24,24,False
ILSVRC2012_val_00000318.png,25,25,25,False
ILSVRC2012_val_00012588.png,26,26,26,False
ILSVRC2012_val_00007561.png,27,27,27,False
ILSVRC2012_val_00017185.png,28,28,28,False
ILSVRC2012_val_00027931.png,29,29,29,False
ILSVRC2012_val_00013940.png,30,30,30,False
ILSVRC2012_val_00028352.png,31,31,31,False
ILSVRC2012_val_00043303.png,32,32,32,False
ILSVRC2012_val_00011303.png,33,33,33,False
ILSVRC2012_val_00041641.png,34,34,34,False
ILSVRC2012_val_00044755.png,35,35,35,False
ILSVRC2012_val_00013394.png,36,36,36,False
ILSVRC2012_val_00034770.png,37,37,37,False
ILSVRC2012_val_00027858.png,38,38,38,False
ILSVRC2012_val_00026793.png,39,39,39,False
ILSVRC2012_val_00033058.png,40,40,40,False
ILSVRC2012_val_00044996.png,41,41,41,False
ILSVRC2012_val_00042602.png,42,42,42,False
ILSVRC2012_val_00022247.png,43,43,43,False
ILSVRC2012_val_00044980.png,44,44,44,False
ILSVRC2012_val_00021786.png,45,45,45,False
ILSVRC2012_val_00047675.png,46,46,46,False
ILSVRC2012_val_00039203.png,47,47,47,False
ILSVRC2012_val_00017490.png,48,48,48,False
ILSVRC2012_val_00019652.png,49,49,49,False
ILSVRC2012_val_00035623.png,50,50,50,False
ILSVRC2012_val_00018666.png,51,51,51,False
ILSVRC2012_val_00027193.png,52,52,52,False
ILSVRC2012_val_00046257.png,53,53,53,False
ILSVRC2012_val_00031596.png,54,54,54,False
ILSVRC2012_val_00039732.png,55,55,55,False
ILSVRC2012_val_00030719.png,56,56,56,False
ILSVRC2012_val_00005676.png,57,57,57,False
ILSVRC2012_val_00006699.png,58,58,58,False
