distortion_scale,flip_prob,loss_mean,loss_std,count
0.0,0.0,0.14290828343947556,0.2268112663572111,1000
0.0,0.25,0.28048683816048825,0.5887466271825385,1000
0.0,0.5,0.3151487632774094,0.6922244214790841,1000
0.0,0.75,0.30057843694514347,0.6605596227631705,1000
0.0,1.0,0.26256038840726265,0.5543053396615542,1000
0.05,0.0,0.4663056528199786,0.9179761412547747,1000
0.05,0.25,0.5278062288405904,1.0272011979444537,1000
0.05,0.5,0.5268194023305156,1.0380737513700657,1000
0.05,0.75,0.48844034943484416,1.0024670150582335,1000
0.05,1.0,0.48045759139837574,1.007616042263419,1000
0.1,0.0,0.693676872173628,1.3042916631642967,1000
0.1,0.25,0.7366324227479426,1.347689071434677,1000
0.1,0.5,0.7189062690539321,1.3746297926093802,1000
0.1,0.75,0.6821991597843148,1.2591177456053029,1000
0.1,1.0,0.7528166777626364,1.4486376357989614,1000
0.15,0.0,0.9091679268539856,1.5389017522978872,1000
0.15,0.25,0.9795589011279519,1.588998996468945,1000
0.15,0.5,1.0010975950757857,1.6100717078180988,1000
0.15,0.75,0.9824407987214849,1.706595349695189,1000
0.15,1.0,0.8681694687235373,1.500658004810285,1000
0.2,0.0,1.2113573553281076,1.8774330688855028,1000
0.2,0.25,1.2411472058982045,1.9284971718456287,1000
0.2,0.5,1.2722846676112887,1.8820614791797377,1000
0.2,0.75,1.2460009791781606,1.8612368600040958,1000
0.2,1.0,1.2000136956286214,1.8262807722647383,1000
0.25,0.0,1.4219920506189874,2.0390509177915113,1000
0.25,0.25,1.445395406135724,2.053783386487373,1000
0.25,0.5,1.4727891443949066,2.1619428247418986,1000
0.25,0.75,1.5137701898148388,2.097356753053023,1000
0.25,1.0,1.3924319196774613,1.9856910543107438,1000
0.3,0.0,1.8083095720856326,2.3526321668346717,1000
0.3,0.25,1.8374221758869462,2.3355859238825327,1000
0.3,0.5,1.9099576235060127,2.429583974016408,1000
0.3,0.75,1.8566531189249644,2.3680285190204744,1000
0.3,1.0,1.7896216557912972,2.3349826555571256,1000
0.4,0.0,2.6183709000858943,2.8299506482264953,1000
0.4,0.25,2.696335418708566,2.8570433642387125,1000
0.4,0.5,2.7705846109703325,2.982833866600675,1000
0.4,0.75,2.6768298793515064,2.905693596402445,1000
0.4,1.0,2.574308082080948,2.8005834773956932,1000
0.5,0.0,3.831671833466171,3.2489771445460502,1000
0.5,0.25,3.8053920985954064,3.2373456518226993,1000
0.5,0.5,3.806101251566273,3.314980432725238,1000
0.5,0.75,3.810562538488273,3.26790309589003,1000
0.5,1.0,3.7039104397065983,3.185341695267314,1000
